"code";"branch"
"1";"Outer West Library"
"2";"Gosforth Library"
"3";"Fenham Library"
"4";"Jesmond Library"
"5";"Kenton Library"
"6";"Walker Library"
"7";"High Heaton Library"
"9";"West End Library"
"11";"Newbiggin Hall Library"
"12";"Newburn Library"
"13";"Blakelaw Library"
"14";"Cruddas Park Library"
"15";"Fawdon Library"
"19";"Dinnington Library"
"20";"Denton Burn Library"
"21";"Mobile Library"
"23";"Moorside Library"
"24";"Home Delivery Service"
"35";"East End Library"
"36";"City Library"
"99";"City Library"
